Name,Aware
Privacy Policy URL,
Bundle ID,com.awaremac.Aware
SKU,Aware1
Primary Language,English
Primary Category,Productivity
Secondary Category,
Price,USD 0.99 (Tier 1)
Availability,Available in all territories
Volume Purchase Program,Available with a volume discount for educational institutions
Bitcode Auto-Recompilation,Use bitcode auto-recompilation
Screenshot 1,
Screenshot 2,
Screenshot 3,
Screenshot 4,
Screenshot 5,
Description,
Keywords,
Support URL,http://awaremac.com
Marketing URL,http://awaremac.com
App Icon,
Version,1.0
Rating,Ages 4+
Copyright,2016 Joshua Peek, Patrick Marsceill.
Trade Representative Contact Information,n/a
Game Center,disabled
App Sandbox Information,none
